term,estimate_30,ame_30,p_30,estimate_50,ame_50,p_50
(Intercept),0.914822560061409,-74.6074813499143,5.21544285484289e-11,1.23750248846214,-36.4365275679724,1.76772827523504e-10
renter_pct,0.00553376907457232,0.3010608841122,1.19089692876755e-05,0.00650118162077519,0.0932604987990091,0.0018802639500017
median_age,0.00752343069149632,0.43185850853966,3.82761490502694e-06,0.0100672989461712,0.186576570120644,5.91970830703995e-05
income_10k,0.0464445884259782,-1.17530686855541,0.0416541129106663,0.0588565968232953,-0.235263053864074,0.386392796183851
density_100,0.00765773573195267,0.312865447222477,0.00100653459670828,0.00856670562775592,0.129354286133982,0.001067837969506
avg_hh_size,0.190377322912583,11.8806766267839,5.07817593052003e-07,0.279639834210586,4.88192133056454,0.000154929097284218
unsuitable_repairs_pct,0.0840430642582746,3.18753557379452,0.00226605375625245,0.0803397038951783,1.55124263335973,2.86349115724706e-05
pop_growth_pct,0.00445524775945431,0.184709475519687,0.000846240029156028,0.00703322505553938,0.0726600798038218,0.0251775225797547
