GEO,DGUID,Total - Shelter-cost-to-income ratio,30% to less than 50%,50% or more,affordability_30plus,affordability_50plus,ALT_GEO_CODE,GEO_NAME,TNR_SF,TNR_LF,"Population, 2021","Population percentage change, 2016 to 2021",Population density per square kilometre,Median age of the population,Average household size,      Median total income of one-person households in 2020 ($),  Renter,    'Not suitable' and 'major repairs needed',simplified_city_nm,market,municipality,starts_2020,starts_2021,Housing Target Status
Pic River 50,2021A00053558062,0,0,0,,,,,,,,,,,,,,,pic river 50,,,0,0,
Pays Plat 51,2021A00053558063,,,,,,,,,,,,,,,,,,pays plat 51,,,0,0,
Lake Helen 53A,2021A00053558064,,,,,,,,,,,,,,,,,,lake helen 53a,,,0,0,
Gull River 55,2021A00053558065,,,,,,,,,,,,,,,,,,gull river 55,,,0,0,
Manitouwadge,2021A00053558066,920,55,20,8.15217391304348,2.17391304347826,3558066,"Manitouwadge, Township (TP)",3.4,7.5,1974,1.9,5.6,49.2,2.1,32800,20.1,0,manitouwadge,,,0,0,
Ginoogaming First Nation,2021A00053558067,,,,,,,,,,,,,,,,,,ginoogaming first nation,,,0,0,
Long Lake 58,2021A00053558068,0,0,0,,,,,,,,,,,,,,,long lake 58,,,0,0,
Rocky Bay 1,2021A00053558069,,,,,,,,,,,,,,,,,,rocky bay 1,,,0,0,
Sand Point First Nation,2021A00053558074,,,,,,,,,,,,,,,,,,sand point first nation,,,0,0,
Greenstone,2021A00053558075,1920,145,65,10.9375,3.38541666666667,3558075,"Greenstone, Municipality (MU)",5.1,10,4309,-7.1,1.6,47.2,2.2,38800,22.7,0.5,greenstone,,,0,0,
Aroland,2021A00053558076,,,,,,3558076,"Aroland, Indian settlement (S-É)",24.6,24.6,178,-51.4,53.3,29.8,3.1,,0,0,aroland,,,0,0,
Lake Nipigon,2021A00053558077,,,,,,,,,,,,,,,,,,lake nipigon,,,0,0,
Ojibway Nation of Saugeen (Savant Lake),2021A00053558080,,,,,,,,,,,,,,,,,,ojibway nation of saugeen savant lake,,,0,0,
Osnaburgh 63A,2021A00053558085,,,,,,,,,,,,,,,,,,osnaburgh 63a,,,0,0,
"Thunder Bay, Unorganized",2021A00053558090,2770,150,115,9.56678700361011,4.15162454873646,3558090,"Thunder Bay, Unorganized, Unorganized (NO)",10.9,10.9,6221,6,0.1,51.6,2.2,45200,9,1.1,thunder bay unorganized,,,0,0,
Red Rock 53,2021A00053558092,,,,,,,,,,,,,,,,,,red rock 53,,,0,0,
Whitesand,2021A00053558097,0,0,0,,,,,,,,,,,,,,,whitesand,,,0,0,
Lac des Mille Lacs 22A1,2021A00053558100,,,,,,,,,,,,,,,,,,lac des mille lacs 22a1,,,0,0,
Atikokan,2021A00053559001,1255,115,30,11.5537848605578,2.39043824701195,3559001,"Atikokan, Town (T)",3.6,6.4,2642,-4,8.4,51.6,2.1,34800,17.5,0.8,atikokan,,,0,0,
Alberton,2021A00053559011,340,10,15,7.35294117647059,4.41176470588235,3559011,"Alberton, Township (TP)",2.4,3.1,954,-1.5,8.2,38,2.8,56400,9.9,0,alberton,,,0,0,
Fort Frances,2021A00053559012,3445,270,120,11.3207547169811,3.4833091436865,3559012,"Fort Frances, Town (T)",3,4.4,7466,-3.5,292.2,46.4,2.1,44000,27,0.3,fort frances,,,0,0,
La Vallee,2021A00053559016,315,0,0,0,0,3559016,"La Vallee, Township (TP)",8.8,13.2,788,-16,3.3,44.8,2.5,46400,7.5,0,la vallee,,,0,0,
Emo,2021A00053559019,470,35,25,12.7659574468085,5.31914893617021,3559019,"Emo, Township (TP)",1.3,2.6,1204,-9.7,6,41.2,2.5,39600,23.4,0,emo,,,0,0,
Chapple,2021A00053559024,245,10,0,4.08163265306122,0,3559024,"Chapple, Township (TP)",4.1,4.7,763,18.7,1.4,40.4,2.9,39200,10.2,0,chapple,,,0,0,
Manitou Rapids 11,2021A00053559026,0,0,0,,,,,,,,,,,,,,,manitou rapids 11,,,0,0,
Morley,2021A00053559031,145,0,0,0,0,3559031,"Morley, Township (TP)",3.8,7.1,493,2.5,1.3,40,2.7,40800,8.6,0,morley,,,0,0,
Dawson,2021A00053559040,170,0,0,0,0,3559040,"Dawson, Township (TP)",8.9,6.4,399,-14.7,1.2,56.4,2.1,38400,7.9,0,dawson,,,0,0,
Rainy River,2021A00053559042,370,40,0,10.8108108108108,0,3559042,"Rainy River, Town (T)",3.8,5.6,752,-6.8,241.4,54,2,37200,26,0,rainy river,,,0,0,
Assabaska,2021A00053559046,,,,,,,,,,,,,,,,,,assabaska,,,0,0,
Lake of the Woods,2021A00053559047,,,,,,3559047,"Lake of the Woods, Township (TP)",19.1,17.4,308,33.9,0.4,59.2,2.2,46000,13.6,0,lake of the woods,,,0,0,
Big Grassy River 35G,2021A00053559051,0,0,0,,,,,,,,,,,,,,,big grassy river 35g,,,0,0,
Big Island Mainland 93,2021A00053559052,,,,,,,,,,,,,,,,,,big island mainland 93,,,0,0,
Saug-A-Gaw-Sing 1,2021A00053559053,,,,,,,,,,,,,,,,,,saug a gaw sing 1,,,0,0,
Neguaguon Lake 25D,2021A00053559060,,,,,,,,,,,,,,,,,,neguaguon lake 25d,,,0,0,
Rainy Lake 18C,2021A00053559061,,,,,,,,,,,,,,,,,,rainy lake 18c,,,0,0,
Agency 1,2021A00053559062,,,,,,,,,,,,,,,,,,agency 1,,,0,0,
Couchiching 16A,2021A00053559063,0,0,0,,,,,,,,,,,,,,,couchiching 16a,,,0,0,
Rainy Lake 26A,2021A00053559064,,,,,,,,,,,,,,,,,,rainy lake 26a,,,0,0,
Seine River 23A,2021A00053559066,0,0,0,,,,,,,,,,,,,,,seine river 23a,,,0,0,
Rainy Lake 17A,2021A00053559068,,,,,,,,,,,,,,,,,,rainy lake 17a,,,0,0,
Rainy Lake 17B,2021A00053559069,,,,,,,,,,,,,,,,,,rainy lake 17b,,,0,0,
Sturgeon Falls 23,2021A00053559089,,,,,,,,,,,,,,,,,,sturgeon falls 23,,,0,0,
"Rainy River, Unorganized",2021A00053559090,540,15,10,4.62962962962963,1.85185185185185,3559090,"Rainy River, Unorganized, Unorganized (NO)",8.7,9.5,1423,3.1,0.1,54.4,2.4,48400,3.6,0,rainy river unorganized,,,0,0,
Ignace,2021A00053560001,550,65,0,11.8181818181818,0,3560001,"Ignace, Township (TP)",6.1,8.7,1206,0.3,16.7,53.6,2.2,36800,20.9,0,ignace,,,0,0,
Whitefish Bay 32A,2021A00053560004,0,0,0,,,,,,,,,,,,,,,whitefish bay 32a,,,0,0,
Whitefish Bay 33A,2021A00053560005,,,,,,,,,,,,,,,,,,whitefish bay 33a,,,0,0,
Sioux Narrows-Nestor Falls,2021A00053560008,250,15,0,6,0,3560008,"Sioux Narrows-Nestor Falls, Township (TP)",25,31,727,28.2,0.6,60,2,46400,7.8,0,sioux narrows nestor falls,,,0,0,
Kenora,2021A00053560010,6505,735,350,16.6794773251345,5.380476556495,3560010,"Kenora, City (CY)",4.8,5.1,14967,-0.9,70.7,44.4,2.2,46000,26.5,0.8,kenora,,,0,0,
Machin,2021A00053560021,450,15,0,3.33333333333333,0,3560021,"Machin, Municipality (MU)",5,5.9,1012,4.2,3.5,53.6,2.2,39200,15.2,0,machin,,,0,0,
Eagle Lake 27,2021A00053560024,0,0,0,,,,,,,,,,,,,,,eagle lake 27,,,0,0,
Dryden,2021A00053560027,3315,240,105,10.4072398190045,3.16742081447964,3560027,"Dryden, City (CY)",1.7,3.2,7388,-4.7,112.7,48,2.2,42000,26.9,0.3,dryden,,,0,0,
Ear Falls,2021A00053560032,470,40,35,15.9574468085106,7.4468085106383,3560032,"Ear Falls, Township (TP)",2.7,3.1,924,-7.1,2.7,43.6,2.2,46400,23.4,0,ear falls,,,0,0,
Sioux Lookout,2021A00053560034,2340,250,70,13.6752136752137,2.99145299145299,3560034,"Sioux Lookout, Municipality (MU)",11.4,14.9,5839,10.8,15.4,38,2.5,54000,33.3,0.9,sioux lookout,,,0,0,
Red Lake,2021A00053560042,1700,150,60,12.3529411764706,3.52941176470588,3560042,"Red Lake, Municipality (MU)",3.6,4.2,4094,-0.3,6.8,38.4,2.4,53600,24.6,0.6,red lake,,,0,0,
Slate Falls,2021A00053560046,0,0,0,,,,,,,,,,,,,,,slate falls,,,0,0,
